feat_importance,shap,Gene1,Gene2,feat_Proba,EdgeWeight
0.000172939,0.000240185,KIR3DL1,CD28,0.000306368,0.00027444
0,0,CYP2B6,CD28,0,0
0.088708446,0.011784121,CD40LG,CD28,0.157150786,0.013464762
0.451334702,0.029260854,HLA-B,CD28,0.799558622,0.033434013
0,0,CRP,CX3CR1,0,0
0.150454561,0.055585548,FCGR3A,CX3CR1,0.266536655,0.063513112
0.000407788,0.000203184,IL10,CX3CR1,0.000722414,0.000232162
0.009341302,0.012494901,CD28,CX3CR1,0.016548513,0.014276913
0.007927021,0.001054823,CCR2,CX3CR1,0.014043054,0.001205261
0.010204651,0.001891501,CCR5,CX3CR1,0.018077974,0.002161265
0,0,ALB,CX3CR1,0,0
0,0,IL2,CX3CR1,0,0
0.024214728,0.00440806,ABCB1,CX3CR1,0.042897421,0.005036734
0,0,HP,CX3CR1,0,0
0.001091353,0.000484052,IL2RA,CX3CR1,0.001933378,0.000553087
0,0,MBL2,CX3CR1,0,0
0,0,CXCL12,CX3CR1,0,0
0.269765012,0.30369957,PRF1,CX3CR1,0.477900193,0.347012952
0.031165571,0.008957089,FAS,CX3CR1,0.055211134,0.010234542
0.159995778,0.113981015,CCL5,CX3CR1,0.283439325,0.130236893
0.000760912,0.000340403,MKI67,CX3CR1,0.001347989,0.000388951
0.019499656,0.01180698,TRIM5,CX3CR1,0.03454447,0.013490881
0.02122313,0.002436622,IFNG,CX3CR1,0.037597677,0.002784131
0.02045906,0.008068344,SERPINA1,CX3CR1,0.036244096,0.009219044
0.001260342,0.00083227,HP,CX3CR1,0.002232749,0.000950968
0,0,CCL2,CX3CR1,0,0
0,0,CCL11,CX3CR1,0,0
0.01203687,0.001429145,FAS,CX3CR1,0.021323827,0.001632968
0.029449192,0.00333926,CCL3,CX3CR1,0.052170496,0.003815503
0.047514214,0.011937611,CCL4L2,CX3CR1,0.084173451,0.013640143
0.004120905,0.000828029,ALB,CX3CR1,0.007300358,0.000946122
0.018196632,0.005681792,KIR3DL1,CX3CR1,0.032236108,0.006492124
0,0,CYP2B6,CX3CR1,0,0
0.004943732,0.001130842,CD40LG,CX3CR1,0.008758031,0.001292122
0.155967591,0.127426907,HLA-B,CX3CR1,0.276303221,0.145600427
0,0,CRP,CCR2,0,0
0.047940869,0.027673038,FCGR3A,CCR2,0.084929288,0.031619743
2.73E-07,1.93E-08,IL10,CCR2,4.83E-07,2.20E-08
0.024584173,0.00201464,CD28,CCR2,0.043551909,0.002301967
0.049523195,0.005723257,CX3CR1,CCR2,0.087732447,0.006539503
0.029492784,0.011290563,CCR5,CCR2,0.052247722,0.012900814
0,0,ALB,CCR2,0,0
0,0,IL2,CCR2,0,0
0.020221403,0.001337722,ABCB1,CCR2,0.035823075,0.001528507
0,0,HP,CCR2,0,0
0.013581212,0.001012899,IL2RA,CCR2,0.024059695,0.001157358
0,0,MBL2,CCR2,0,0
0,0,CXCL12,CCR2,0,0
0.063410246,0.005080944,PRF1,CCR2,0.112333948,0.005805584
0.068096378,0.009522953,FAS,CCR2,0.120635631,0.010881109
0.130413367,0.048640057,CCL5,CCR2,0.231032827,0.055577061
0.000129762,1.14E-05,MKI67,CCR2,0.000229879,1.31E-05
0.02417244,0.001454667,TRIM5,CCR2,0.042822505,0.001662131
0.004801281,0.000513711,IFNG,CCR2,0.008505673,0.000586976
0.176895632,0.114872284,SERPINA1,CCR2,0.313378137,0.131255274
0.009254228,0.000351723,HP,CCR2,0.016394259,0.000401886
0,0,CCL2,CCR2,0,0
0,0,CCL11,CCR2,0,0
0.027141042,0.001112385,FAS,CCR2,0.048081511,0.001271033
0.021223554,0.000559187,CCL3,CCR2,0.037598428,0.000638938
0.021623259,0.000857637,CCL4L2,CCR2,0.038306523,0.000979953
0.000393274,2.13E-05,ALB,CCR2,0.000696701,2.44E-05
0.000297373,2.03E-05,KIR3DL1,CCR2,0.000526809,2.32E-05
0,0,CYP2B6,CCR2,0,0
0.050184111,0.017618103,CD40LG,CCR2,0.088903288,0.020130782
0.216620143,0.007796452,HLA-B,CCR2,0.383751796,0.008908375
0,0,CRP,CCR5,0,0
0.022882166,0.01073947,FCGR3A,CCR5,0.040536731,0.012271124
1.83E-05,3.50E-06,IL10,CCR5,3.24E-05,4.00E-06
0.064167187,0.005387263,CD28,CCR5,0.113674901,0.00615559
0.061102268,0.006684459,CX3CR1,CCR5,0.108245267,0.007637791
0.022828009,0.001703499,CCR2,CCR5,0.040440788,0.00194645
0,0,ALB,CCR5,0,0
0,0,IL2,CCR5,0,0
0.05702034,0.004787409,ABCB1,CCR5,0.101013958,0.005470185
0,0,HP,CCR5,0,0
0.001223246,0.000121875,IL2RA,CCR5,0.002167031,0.000139257
0,0,MBL2,CCR5,0,0
0,0,CXCL12,CCR5,0,0
0.132549743,0.011395583,PRF1,CCR5,0.234817507,0.013020812
0.030459648,0.004113271,FAS,CCR5,0.053960562,0.004699902
0.191509015,0.044531734,CCL5,CCR5,0.339266366,0.050882813
0.000199205,0.000128392,MKI67,CCR5,0.0003529,0.000146704
0.040534692,0.002409477,TRIM5,CCR5,0.071808931,0.002753115
0.001521154,0.001435196,IFNG,CCR5,0.00269479,0.001639882
0.012997363,0.012791563,SERPINA1,CCR5,0.023025381,0.014615885
4.45E-05,1.98E-06,HP,CCR5,7.88E-05,2.27E-06
0,0,CCL2,CCR5,0,0
0,0,CCL11,CCR5,0,0
0.007731182,0.000121996,FAS,CCR5,0.013696118,0.000139395
0.002936813,0.00052436,CCL3,CCR5,0.00520269,0.000599143
0.088356797,0.004492438,CCL4L2,CCR5,0.156527824,0.005133146
0.006594371,0.001022382,ALB,CCR5,0.011682208,0.001168193
0.000804117,0.000581531,KIR3DL1,CCR5,0.001424527,0.000664468
0,0,CYP2B6,CCR5,0,0
0.029456933,0.00123398,CD40LG,CCR5,0.052184209,0.001409969
0.225062988,0.071091378,HLA-B,CCR5,0.398708655,0.081230371
0,0,CRP,ALB,0,0
0.051854991,0.002042557,FCGR3A,ALB,0.091863322,0.002333865
3.78E-06,1.01E-07,IL10,ALB,6.69E-06,1.16E-07
0.090723103,0.00066931,CD28,ALB,0.160719837,0.000764767
0.043152415,0.001298548,CX3CR1,ALB,0.076446338,0.001483746
0.001813923,0.000204752,CCR2,ALB,0.003213442,0.000233953
0.00668738,0.000739806,CCR5,ALB,0.011846979,0.000845316
0,0,IL2,ALB,0,0
0.018066703,0.001271097,ABCB1,ALB,0.032005933,0.00145238
0,0,HP,ALB,0,0
0.001498405,1.70E-05,IL2RA,ALB,0.002654488,1.94E-05
0,0,MBL2,ALB,0,0
0,0,CXCL12,ALB,0,0
0.112081894,0.007665807,PRF1,ALB,0.198557842,0.008759098
0.028254048,0.000425644,FAS,ALB,0.050053248,0.000486349
0.172408823,0.004824565,CCL5,ALB,0.305429564,0.00551264
3.43E-05,4.10E-07,MKI67,ALB,6.08E-05,4.68E-07
0.012342204,0.000368204,TRIM5,ALB,0.021864739,0.000420716
0.008861277,0.000175899,IFNG,ALB,0.015698128,0.000200986
0.000476902,0.000165738,SERPINA1,ALB,0.000844852,0.000189376
0,0,HP,ALB,0,0
0,0,CCL2,ALB,0,0
0,0,CCL11,ALB,0,0
0.002570214,3.20E-05,FAS,ALB,0.004553243,3.65E-05
0.064862667,0.000637446,CCL3,ALB,0.114906974,0.000728358
0.04797187,0.001153116,CCL4L2,ALB,0.084984208,0.001317572
0.017420548,0.000538764,KIR3DL1,ALB,0.030861242,0.000615603
0,0,CYP2B6,ALB,0,0
0.058729827,0.000478084,CD40LG,ALB,0.104042387,0.000546268
0.260184684,0.002792605,HLA-B,ALB,0.460928234,0.003190884
0,0,CRP,IL2,0,0
0,0,FCGR3A,IL2,0,0
0,0,IL10,IL2,0,0
0,0,CD28,IL2,0,0
0,0,CX3CR1,IL2,0,0
0,0,CCR2,IL2,0,0
0,0,CCR5,IL2,0,0
0,0,ALB,IL2,0,0
0,0,ABCB1,IL2,0,0
0,0,HP,IL2,0,0
0,0,IL2RA,IL2,0,0
0,0,MBL2,IL2,0,0
0,0,CXCL12,IL2,0,0
0,0,PRF1,IL2,0,0
0,0,FAS,IL2,0,0
0,0,CCL5,IL2,0,0
0,0,MKI67,IL2,0,0
0,0,TRIM5,IL2,0,0
0,0,IFNG,IL2,0,0
0,0,SERPINA1,IL2,0,0
0,0,HP,IL2,0,0
0,0,CCL2,IL2,0,0
0,0,CCL11,IL2,0,0
0,0,FAS,IL2,0,0
0,0,CCL3,IL2,0,0
0,0,CCL4L2,IL2,0,0
0,0,ALB,IL2,0,0
0,0,KIR3DL1,IL2,0,0
0,0,CYP2B6,IL2,0,0
0,0,CD40LG,IL2,0,0
0,0,HLA-B,IL2,0,0
0,0,CRP,ABCB1,0,0
0.081669693,0.012316679,FCGR3A,ABCB1,0.144681335,0.014073274
1.20E-05,6.21E-07,IL10,ABCB1,2.12E-05,7.10E-07
0.028692265,0.000517913,CD28,ABCB1,0.050829569,0.000591777
0.07361401,0.006282844,CX3CR1,ABCB1,0.13041035,0.007178898
0.017216809,0.000724721,CCR2,ABCB1,0.03050031,0.00082808
0.035093245,0.005781258,CCR5,ABCB1,0.062169176,0.006605776
0,0,ALB,ABCB1,0,0
0,0,IL2,ABCB1,0,0
0,0,HP,ABCB1,0,0
0.000401097,0.000106271,IL2RA,ABCB1,0.000710561,0.000121427
0,0,MBL2,ABCB1,0,0
0,0,CXCL12,ABCB1,0,0
0.131460773,0.056093551,PRF1,ABCB1,0.23288835,0.064093567
0.0422135,0.005236202,FAS,ABCB1,0.07478301,0.005982985
0.187937775,0.054941478,CCL5,ABCB1,0.332939763,0.062777186
6.56E-05,2.11E-05,MKI67,ABCB1,0.000116156,2.41E-05
0.011396552,0.000931915,TRIM5,ABCB1,0.020189477,0.001064824
0.016267605,0.001572066,IFNG,ABCB1,0.028818755,0.001796273
0.010511751,0.025723594,SERPINA1,ABCB1,0.018622014,0.029392272
0,0,HP,ABCB1,0,0
0,0,CCL2,ABCB1,0,0
0,0,CCL11,ABCB1,0,0
0.012015161,0.001229979,FAS,ABCB1,0.02128537,0.001405398
0.022000282,0.00215428,CCL3,ABCB1,0.038974436,0.002461522
0.043807862,0.004439502,CCL4L2,ABCB1,0.077607491,0.00507266
0.006375495,0.000755199,ALB,ABCB1,0.011294461,0.000862905
0.012700011,0.001028425,KIR3DL1,ABCB1,0.02249861,0.001175098
0,0,CYP2B6,ABCB1,0,0
0.011776602,0.000509419,CD40LG,ABCB1,0.020862751,0.000582072
0.254771962,0.086156526,HLA-B,ABCB1,0.451339367,0.098444099
0,0,CRP,HP,0,0
0.01949102,0.001046016,FCGR3A,HP,0.034529172,0.001195198
0,0,IL10,HP,0,0
9.21E-05,8.85E-06,CD28,HP,0.000163238,1.01E-05
0.103143197,0.003018782,CX3CR1,HP,0.18272256,0.003449318
0.060351407,0.000329965,CCR2,HP,0.106915084,0.000377024
2.25E-05,8.63E-08,CCR5,HP,3.98E-05,9.86E-08
0,0,ALB,HP,0,0
0,0,IL2,HP,0,0
0.000113337,6.90E-07,ABCB1,HP,0.000200781,7.89E-07
0,0,IL2RA,HP,0,0
0,0,MBL2,HP,0,0
0,0,CXCL12,HP,0,0
0.002011346,0.000124986,PRF1,HP,0.003563185,0.000142811
0.024078625,0.000369396,FAS,HP,0.042656308,0.000422079
0.083826671,0.008087077,CCL5,HP,0.148502513,0.00924045
0,0,MKI67,HP,0,0
0.035385049,0.000629181,TRIM5,HP,0.06268612,0.000718915
0,0,IFNG,HP,0,0
0.228928589,0.00707875,SERPINA1,HP,0.405556734,0.008088315
0,0,CCL2,HP,0,0
0,0,CCL11,HP,0,0
0.000564138,1.10E-05,FAS,HP,0.000999394,1.26E-05
0.107268115,0.00066833,CCL3,HP,0.190030028,0.000763646
7.65E-05,9.50E-07,CCL4L2,HP,0.000135588,1.09E-06
0,0,ALB,HP,0,0
0,0,KIR3DL1,HP,0,0
0,0,CYP2B6,HP,0,0
0.00144815,1.82E-05,CD40LG,HP,0.002565459,2.08E-05
0.333199209,0.002003043,HLA-B,HP,0.590276571,0.002288715
0,0,CRP,IL2RA,0,0
0.007261253,0.002425106,FCGR3A,IL2RA,0.012863618,0.002770973
0.000500483,0.000124423,IL10,IL2RA,0.000886627,0.000142168
0.054622649,0.002478527,CD28,IL2RA,0.096766345,0.002832012
0.007041787,0.002103455,CX3CR1,IL2RA,0.012474825,0.002403448
0.032175532,0.000969524,CCR2,IL2RA,0.057000323,0.001107796
