feat_importance,shap,Gene1,Gene2,feat_Proba,EdgeWeight
0.000132698,9.21E-06,CCL2,CD28,0.000248173,1.48E-05
0,0,CCL11,CD28,0,0
0.015864728,0.001832565,FAS,CD28,0.029670455,0.002941414
0.007044713,0.006669026,CCL3,CD28,0.013175129,0.010704323
0.007675435,0.001410089,CCL4L2,CD28,0.014354715,0.002263307
0.005039746,0.0002276,ALB,CD28,0.009425409,0.000365317
0.000365404,3.96E-05,KIR3DL1,CD28,0.000683383,6.35E-05
0.000119447,7.25E-06,CYP2B6,CD28,0.000223392,1.16E-05
0.106047979,0.039566784,CD40LG,CD28,0.19833254,0.063507875
0.424995134,0.028048538,HLA-B,CD28,0.794832352,0.045020162
0,0,CRP,CX3CR1,0,0
0.26873176,0.210922994,FCGR3A,CX3CR1,0.502586218,0.338548388
0.000448432,0.000184611,IL10,CX3CR1,0.000838664,0.000296316
0.007591551,0.010357576,CD28,CX3CR1,0.014197833,0.016624744
0.012319994,0.001649419,CCR2,CX3CR1,0.023041041,0.00264745
0.007561567,0.001237062,CCR5,CX3CR1,0.014141758,0.001985584
0,0,ALB,CX3CR1,0,0
7.37E-05,3.93E-05,IL2,CX3CR1,0.000137772,6.31E-05
0.016319977,0.003600698,ABCB1,CX3CR1,0.030521869,0.005779409
0.000630702,0.000186991,HP,CX3CR1,0.001179548,0.000300135
0.001166782,0.000381549,IL2RA,CX3CR1,0.002182133,0.000612417
0,0,MBL2,CX3CR1,0,0
0,0,CXCL12,CX3CR1,0,0
0.252777369,0.302024169,PRF1,CX3CR1,0.472748073,0.484773108
0.023325708,0.007661281,FAS,CX3CR1,0.043624092,0.012296974
0.117856447,0.071012319,CCL5,CX3CR1,0.220416916,0.113980489
0.001052371,0.000677637,MKI67,CX3CR1,0.00196816,0.001087662
0.019175579,0.004603164,TRIM5,CX3CR1,0.03586246,0.007388449
0.019140092,0.004280871,IFNG,CX3CR1,0.035796091,0.006871142
0.066098213,0.05726234,SERPINA1,CX3CR1,0.12361788,0.091910666
0.002070471,0.000350682,HP,CX3CR1,0.003872226,0.000562872
0.000506527,0.000561667,CCL2,CX3CR1,0.000947315,0.000901521
0,0,CCL11,CX3CR1,0,0
0.008828914,0.001288502,FAS,CX3CR1,0.01651197,0.00206815
0.028613944,0.012346179,CCL3,CX3CR1,0.053514232,0.019816612
0.019699438,0.003598151,CCL4L2,CX3CR1,0.036842188,0.005775322
0.004613347,0.000689653,ALB,CX3CR1,0.008627951,0.001106948
0.006967836,0.002272761,KIR3DL1,CX3CR1,0.013031353,0.003647964
5.08E-05,4.35E-05,CYP2B6,CX3CR1,9.50E-05,6.99E-05
0.00566201,0.003353344,CD40LG,CX3CR1,0.010589178,0.005382387
0.108716513,0.084380439,HLA-B,CX3CR1,0.203323272,0.135437399
0,0,CRP,CCR2,0,0
0.051362738,0.044085941,FCGR3A,CCR2,0.096059372,0.070761485
0.000374956,2.32E-05,IL10,CCR2,0.000701248,3.72E-05
0.025488681,0.006396217,CD28,CCR2,0.047669318,0.010266444
0.069312207,0.016060923,CX3CR1,CCR2,0.129628742,0.025779074
0.02156576,0.002011577,CCR5,CCR2,0.040332611,0.003228743
0,0,ALB,CCR2,0,0
0.001729809,4.52E-05,IL2,CCR2,0.003235115,7.26E-05
0.01346215,0.000960398,ABCB1,CCR2,0.025177118,0.001541516
0.000826595,5.80E-05,HP,CCR2,0.00154591,9.31E-05
0.013261394,0.000585881,IL2RA,CCR2,0.02480166,0.000940386
0,0,MBL2,CCR2,0,0
0,0,CXCL12,CCR2,0,0
0.04389921,0.026299164,PRF1,CCR2,0.082100968,0.042212276
0.039754592,0.005780254,FAS,CCR2,0.074349642,0.009277773
0.087579767,0.021773425,CCL5,CCR2,0.163793009,0.0349481
0.000903943,0.000126209,MKI67,CCR2,0.001690569,0.000202576
0.040648865,0.003767575,TRIM5,CCR2,0.076022125,0.006047261
0.00372283,0.002110663,IFNG,CCR2,0.006962494,0.003387784
0.200341307,0.023424202,SERPINA1,CCR2,0.374681354,0.037597729
0.015605911,0.002185181,HP,CCR2,0.029186411,0.003507392
0.00302861,0.000190605,CCL2,CCR2,0.005664152,0.000305937
0,0,CCL11,CCR2,0,0
0.015597632,0.00124628,FAS,CCR2,0.029170928,0.00200038
0.030606389,0.004041579,CCL3,CCR2,0.057240532,0.00648706
0.006908797,0.000774971,CCL4L2,CCR2,0.012920937,0.001243891
0.003790349,0.000155928,ALB,CCR2,0.007088768,0.000250278
0.000118897,0.00015925,KIR3DL1,CCR2,0.000222362,0.000255609
0.00234714,0.000366663,CYP2B6,CCR2,0.004389657,0.000588524
0.048447627,0.004342922,CD40LG,CCR2,0.090607488,0.00697074
0.259313846,0.030513974,HLA-B,CCR2,0.484972691,0.048977386
0,0,CRP,CCR5,0,0
0.066270241,0.012330662,FCGR3A,CCR5,0.123939611,0.019791706
1.33E-06,2.75E-08,IL10,CCR5,2.48E-06,4.42E-08
0.044503972,0.002237228,CD28,CCR5,0.083232005,0.003590931
0.082349392,0.00779576,CX3CR1,CCR5,0.154011083,0.012512823
0.037808336,0.007770052,CCR2,CCR5,0.070709724,0.01247156
0,0,ALB,CCR5,0,0
5.90E-06,1.27E-07,IL2,CCR5,1.10E-05,2.04E-07
0.04140428,0.001861871,ABCB1,CCR5,0.077434913,0.002988452
1.48E-05,2.11E-07,HP,CCR5,2.78E-05,3.39E-07
0.009079077,0.003702088,IL2RA,CCR5,0.016979827,0.005942149
0,0,MBL2,CCR5,0,0
0,0,CXCL12,CCR5,0,0
0.115277733,0.019363796,PRF1,CCR5,0.215594166,0.031080452
0.036131497,0.002702117,FAS,CCR5,0.067573674,0.004337116
0.143510292,0.011253649,CCL5,CCR5,0.268395127,0.018063012
0.00123374,3.73E-05,MKI67,CCR5,0.00230736,5.98E-05
0.019109085,0.000558248,TRIM5,CCR5,0.0357381,0.000896032
0.022477581,0.00172854,IFNG,CCR5,0.042037912,0.002774445
0.034573469,0.04026268,SERPINA1,CCR5,0.064659827,0.064624843
0.00256548,0.000398017,HP,CCR5,0.004797999,0.000638849
3.78E-05,1.35E-05,CCL2,CCR5,7.07E-05,2.17E-05
0,0,CCL11,CCR5,0,0
0.007788102,0.000625643,FAS,CCR5,0.014565426,0.001004208
0.038797547,0.004921317,CCL3,CCR5,0.072559762,0.00789911
0.029533678,0.001904197,CCL4L2,CCR5,0.055234333,0.00305639
0.000727385,8.90E-05,ALB,CCR5,0.001360367,0.000142815
0.000377918,3.34E-05,KIR3DL1,CCR5,0.000706788,5.36E-05
0.006769279,0.000281315,CYP2B6,CCR5,0.012660007,0.000451533
0.035117571,0.001264671,CD40LG,CCR5,0.065677414,0.002029899
0.224534474,0.052508098,HLA-B,CCR5,0.419927782,0.084279724
0,0,CRP,ALB,0,0
0.077948057,0.003367654,FCGR3A,ALB,0.14577964,0.005405356
2.17E-07,9.59E-09,IL10,ALB,4.06E-07,1.54E-08
0.029481855,0.00047579,CD28,ALB,0.055137412,0.000763681
0.090777927,0.001481127,CX3CR1,ALB,0.169774258,0.002377329
0.00845716,0.000774069,CCR2,ALB,0.01581671,0.001242443
0.001790633,0.000305109,CCR5,ALB,0.00334887,0.000489724
0.000118295,9.47E-07,IL2,ALB,0.000221237,1.52E-06
0.025931756,0.000836884,ABCB1,ALB,0.048497964,0.001343267
1.22E-05,1.07E-07,HP,ALB,2.28E-05,1.72E-07
0.014374682,0.000143138,IL2RA,ALB,0.026883749,0.000229747
0,0,MBL2,ALB,0,0
0,0,CXCL12,ALB,0,0
0.146331581,0.024542606,PRF1,ALB,0.273671544,0.039392859
0.024959961,0.00095939,FAS,ALB,0.046680497,0.001539898
0.134142914,0.006073423,CCL5,ALB,0.250876114,0.009748333
0.000293935,3.09E-06,MKI67,ALB,0.000549723,4.97E-06
0.016685579,0.001191453,TRIM5,ALB,0.031205623,0.001912377
0.017741203,0.000671997,IFNG,ALB,0.033179868,0.00107861
0.027560784,0.008601496,SERPINA1,ALB,0.051544596,0.013806094
0.000345239,1.45E-05,HP,ALB,0.000645671,2.33E-05
4.04E-05,1.95E-07,CCL2,ALB,7.56E-05,3.13E-07
0,0,CCL11,ALB,0,0
0.009603945,9.60E-05,FAS,ALB,0.017961443,0.000154114
0.015080095,0.002090031,CCL3,ALB,0.028203022,0.003354668
0.005283011,0.001076679,CCL4L2,ALB,0.009880368,0.001728156
0.004757762,0.000468063,KIR3DL1,ALB,0.008898038,0.000751279
0.002985423,7.72E-05,CYP2B6,ALB,0.005583383,0.000123919
0.018682449,0.000570316,CD40LG,ALB,0.034940199,0.000915403
0.326612916,0.005371873,HLA-B,ALB,0.610836433,0.008622289
0,0,CRP,IL2,0,0
0.004664528,0.000608339,FCGR3A,IL2,0.00872367,0.000976434
4.09E-05,1.71E-07,IL10,IL2,7.65E-05,2.75E-07
0.080725311,0.001896341,CD28,IL2,0.150973703,0.003043781
0.005295604,0.000374033,CX3CR1,IL2,0.009903919,0.000600353
0.042402496,0.002216458,CCR2,IL2,0.079301792,0.003557594
0.000924265,1.21E-05,CCR5,IL2,0.001728575,1.95E-05
0,0,ALB,IL2,0,0
0.070029468,0.000172894,ABCB1,IL2,0.130970174,0.000277508
0,0,HP,IL2,0,0
0.009056259,4.85E-05,IL2RA,IL2,0.016937153,7.78E-05
0,0,MBL2,IL2,0,0
0,0,CXCL12,IL2,0,0
0.128387721,0.002856717,PRF1,IL2,0.240112665,0.004585261
0.04726588,0.004351823,FAS,IL2,0.088397367,0.006985027
0.133613423,0.002606057,CCL5,IL2,0.249885852,0.004182932
0,0,MKI67,IL2,0,0
0.003295735,6.39E-05,TRIM5,IL2,0.006163734,0.000102599
0.009745652,0.000589448,IFNG,IL2,0.018226466,0.000946111
0.001820211,0.000448291,SERPINA1,IL2,0.003404186,0.000719544
1.36E-05,4.24E-08,HP,IL2,2.55E-05,6.80E-08
0,0,CCL2,IL2,0,0
0,0,CCL11,IL2,0,0
0.003460686,1.49E-05,FAS,IL2,0.006472228,2.39E-05
0.004830885,0.000120953,CCL3,IL2,0.009034795,0.00019414
0.011764333,0.00143978,CCL4L2,IL2,0.022001834,0.002310962
0.00316029,6.35E-06,ALB,IL2,0.005910422,1.02E-05
1.82E-05,1.47E-07,KIR3DL1,IL2,3.39E-05,2.36E-07
0,0,CYP2B6,IL2,0,0
0.122961935,0.001852147,CD40LG,IL2,0.229965278,0.002972845
0.316522601,0.000371854,HLA-B,IL2,0.591965374,0.000596856
0,0,CRP,ABCB1,0,0
0.080785896,0.019675002,FCGR3A,ABCB1,0.151087008,0.031579963
1.63E-20,0,IL10,ABCB1,3.05E-20,0
0.029662407,0.003946263,CD28,ABCB1,0.055475083,0.00633407
0.080124911,0.01093805,CX3CR1,ABCB1,0.149850824,0.017556451
0.013253724,0.001830933,CCR2,ABCB1,0.024787315,0.002938795
0.012824587,0.001174115,CCR5,ABCB1,0.023984737,0.00188455
0,0,ALB,ABCB1,0,0
0.002358486,8.96E-05,IL2,ABCB1,0.004410876,0.000143891
0.000869504,0.000280706,HP,ABCB1,0.00162616,0.000450555
0.004639363,0.001158357,IL2RA,ABCB1,0.008676608,0.001859256
0,0,MBL2,ABCB1,0,0
0,0,CXCL12,ABCB1,0,0
0.131511299,0.054864409,PRF1,ABCB1,0.245954428,0.088061794
0.031638713,0.00769645,FAS,ABCB1,0.059171201,0.012353421
0.158867146,0.083635056,CCL5,ABCB1,0.297115749,0.134240998
0.004477251,0.00025174,MKI67,ABCB1,0.008373422,0.000404062
0.030461133,0.000839431,TRIM5,ABCB1,0.056968874,0.001347354
0.034522001,0.003917319,IFNG,ABCB1,0.06456357,0.006287612
0.016524523,0.019363396,SERPINA1,ABCB1,0.030904415,0.03107981
0.000121689,1.33E-05,HP,ABCB1,0.000227585,2.14E-05
1.83E-05,1.46E-05,CCL2,ABCB1,3.42E-05,2.35E-05
0,0,CCL11,ABCB1,0,0
0.013945283,0.001349407,FAS,ABCB1,0.026080681,0.002165906
0.046653306,0.003434631,CCL3,ABCB1,0.087251721,0.00551286
0.026730366,0.002092248,CCL4L2,ABCB1,0.049991535,0.003358227
0.007389037,0.000208747,ALB,ABCB1,0.013819089,0.000335056
0.008685869,0.000805532,KIR3DL1,ABCB1,0.016244444,0.001292944
0.001509204,6.60E-05,CYP2B6,ABCB1,0.002822536,0.000105873
0.017754017,0.002776702,CD40LG,ABCB1,0.033203832,0.004456831
0.244672019,0.10947294,HLA-B,ABCB1,0.457589324,0.175712882
0,0,CRP,HP,0,0
0.03830157,0.005982117,FCGR3A,HP,0.071632177,0.009601779
0.00010175,6.27E-07,IL10,HP,0.000190295,1.01E-06
0.005113858,0.001872941,CD28,HP,0.009564015,0.003006221
0.060264981,0.001959157,CX3CR1,HP,0.112708483,0.003144605
0.054619955,0.002497849,CCR2,HP,0.102151068,0.004009248
0.005905259,4.58E-05,CCR5,HP,0.011044104,7.35E-05
0,0,ALB,HP,0,0
0,0,IL2,HP,0,0
0.001270593,5.02E-05,ABCB1,HP,0.002376282,8.06E-05
8.17E-05,4.71E-07,IL2RA,HP,0.000152715,7.57E-07
0,0,MBL2,HP,0,0
0,0,CXCL12,HP,0,0
0.01097124,0.004898111,PRF1,HP,0.02051858,0.007861862
0.030001739,0.000144753,FAS,HP,0.056109707,0.00023234
0.053626757,0.002699126,CCL5,HP,0.100293576,0.004332314
